name,downloads
nginx/nginx-ingress,10000000
f5networks/k8s-bigip-ctlr,10000000
amazon/aws-alb-ingress-controller,5000000
appscode/voyager,1000000
haproxytech/kubernetes-ingress,1000000
bitnami/nginx-ingress-controller,1000000
projectcontour/contour,1000000
ibmcom/nginx-ingress-controller,500000
datawire/ambassador,500000


link
https://hub.docker.com/r/nginx/nginx-ingress
https://hub.docker.com/r/f5networks/k8s-bigip-ctlr
https://hub.docker.com/r/amazon/aws-alb-ingress-controller
https://hub.docker.com/r/appscode/voyager
https://hub.docker.com/r/haproxytech/kubernetes-ingress
https://hub.docker.com/r/bitnami/nginx-ingress-controller
https://hub.docker.com/r/projectcontour/contour
https://hub.docker.com/r/ibmcom/nginx-ingress-controller
https://hub.docker.com/r/datawire/ambassador
